Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15950259,11,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CC8002,0,KG,,Posted in FI,L,26.04.2018,M
RB15950257,11,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CD8018,0,KG,,Posted in FI,L,26.04.2018,M
RB15950158,10,,RB_TW070,ZF2,"82,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CD8003,"1,000.00",KG,,Posted in FI,L,24.04.2018,M
RB15950158,20,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CD8017,"1,000.00",KG,,Posted in FI,L,24.04.2018,M
RB15950158,30,,RB_TW070,ZF2,"146,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CC8007,"2,000.00",KG,,Posted in FI,L,24.04.2018,M
RB15950158,40,,RB_TW070,ZF2,"96,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CC8002,"1,000.00",KG,,Posted in FI,L,24.04.2018,M
RB15950158,50,,RB_TW070,ZF2,"129,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CC8002,"1,000.00",KG,,Posted in FI,L,24.04.2018,M
RB15949932,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CC8002,0,KG,,Posted in FI,L,18.04.2018,M
RB15949932,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CD8003,0,KG,,Posted in FI,L,18.04.2018,M
RB15949932,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CC8014,0,KG,,Posted in FI,L,18.04.2018,M
RB15949932,41,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CC8007,0,KG,,Posted in FI,L,18.04.2018,M
RB15949858,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR2865EH-DR000200,U-VAN 28-65EHT,,RB11,CD8001,0,KG,,Posted in FI,L,10.04.2018,M
RB15949857,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR2865EH-DR000200,U-VAN 28-65EHT,,RB11,CD8001,0,KG,,Posted in FI,L,10.04.2018,M
RB15949666,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CC8002,0,KG,,Posted in FI,L,05.04.2018,M
