Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Acid Value,11.8,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Color,1,-999,3,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Non Volatile Content,63.8,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Viscosity,A106,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CA8001,21-01-18,21-01-19,22-01-18,40000043535,Acid Value,13.2,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CA8001,21-01-18,21-01-19,22-01-18,40000043535,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CA8001,21-01-18,21-01-19,22-01-18,40000043535,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CA8001,21-01-18,21-01-19,22-01-18,40000043535,Non Volatile Content,68.2,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CA8001,21-01-18,21-01-19,22-01-18,40000043535,Viscosity,A097,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB8002,12-02-18,12-02-19,13-02-18,40000044350,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB8002,12-02-18,12-02-19,13-02-18,40000044350,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB8002,12-02-18,12-02-19,13-02-18,40000044350,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB8002,12-02-18,12-02-19,13-02-18,40000044350,Non Volatile Content,67.8,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB8002,12-02-18,12-02-19,13-02-18,40000044350,Viscosity,A097,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC8003,15-03-18,15-03-19,16-03-18,40000045701,Acid Value,12.9,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC8003,15-03-18,15-03-19,16-03-18,40000045701,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC8003,15-03-18,15-03-19,16-03-18,40000045701,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC8003,15-03-18,15-03-19,16-03-18,40000045701,Non Volatile Content,68.0,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC8003,15-03-18,15-03-19,16-03-18,40000045701,Viscosity,A099,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Non Volatile Content,67.8,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Viscosity,A098,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL8005,12-11-18,12-11-19,13-11-18,40000054637,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL8005,12-11-18,12-11-19,13-11-18,40000054637,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL8005,12-11-18,12-11-19,13-11-18,40000054637,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL8005,12-11-18,12-11-19,13-11-18,40000054637,Non Volatile Content,67.1,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL8005,12-11-18,12-11-19,13-11-18,40000054637,Viscosity,A098,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM8006,14-12-18,14-12-19,15-12-18,40000055816,Acid Value,12.5,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM8006,14-12-18,14-12-19,15-12-18,40000055816,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM8006,14-12-18,14-12-19,15-12-18,40000055816,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM8006,14-12-18,14-12-19,15-12-18,40000055816,Non Volatile Content,67.8,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM8006,14-12-18,14-12-19,15-12-18,40000055816,Viscosity,A099,,,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Appearance,A012,,,Visual Check
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Color,1,-999,3,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Non Volatile Content,66.4,63.5,66.5,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Viscosity,A117,,,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CB8002,03-02-18,03-02-19,04-02-18,40000043952,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CB8002,03-02-18,03-02-19,04-02-18,40000043952,Appearance,A012,,,Visual Check
ENFC20700-DR000200,ALMATEX C207,RB11,A,CB8002,03-02-18,03-02-19,04-02-18,40000043952,Color,1,-999,3,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CB8002,03-02-18,03-02-19,04-02-18,40000043952,Non Volatile Content,65.6,63.5,66.5,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CB8002,03-02-18,03-02-19,04-02-18,40000043952,Viscosity,A119,,,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Acid Value,10.7,9.0,12.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Appearance,A012,,,Visual Check
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Color,1,-999,3,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Crater,3,0,4,TMSC(A4 x 2Panel)
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Non Volatile Content,56.8,56.0,58.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CB8001,18-02-18,18-02-19,19-02-18,40000044661,Viscosity,A069,,,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Acid Value,10.7,9.0,12.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Appearance,A012,,,Visual Check
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Color,1,-999,3,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Crater,2,0,4,TMSC(A4 x 2Panel)
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Non Volatile Content,56.5,56.0,58.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Viscosity,A069,,,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Acid Value,10.2,9.0,12.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Appearance,A012,,,Visual Check
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Color,1,-999,3,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Crater,2,0,4,TMSC(A4 x 2Panel)
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Non Volatile Content,57.2,56.0,58.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CL8003,06-11-18,06-11-19,08-11-18,40000054464,Viscosity,A067,,,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Acid Value,12.4,12.0,14.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Appearance,A012,,,Visual Check
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Color,1,-999,3,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Crater,2,0,4,TMSC(A4 x 2Panel)
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Non Volatile Content,56.7,56.0,58.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CC8001,20-03-18,20-03-19,21-03-18,40000046031,Viscosity,A076,,,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Acid Value,12.2,12.0,14.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Appearance,A012,,,Visual Check
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Color,1,-999,3,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Crater,1,0,4,TMSC(A4 x 2Panel)
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Non Volatile Content,57.0,56.0,58.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Viscosity,A073,,,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Acid Value,13.0,12.0,14.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Appearance,A012,,,Visual Check
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Color,1,-999,3,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Crater,1,0,4,TMSC(A4 x 2Panel)
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Non Volatile Content,57.2,56.0,58.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CM8003,11-12-18,11-12-19,12-12-18,40000055645,Viscosity,A069,,,JIS K5400
