Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013992,บริษัท โยโกฮามา รับเบอร์,PO20190800092,RB15966206,2019-08-13,MR. KEAITTICHAI  A.,08/2019,2019-09-12,1.00000,THB,"99,169.74",THB,"99,169.74","99,169.74",0.00,0.00,0.00,0.00,1000198348,,RB1
BG00019568,บริษัท สยามอีเทอร์โฟม จำกัด,62-0277,RB15966207,2019-08-10,MR.PHASAKORN C.,08/2019,2019-11-30,1.00000,THB,"2,328.53",THB,"2,328.53","2,328.53",0.00,0.00,0.00,0.00,1000198993,,
BG00013472,บริษัท จี.ดี.ซี. แกรนด์ ไดมอนด,CPO1908-025,RB15966208,2019-08-13,TAKDANAI Y.,08/2019,2019-10-12,1.00000,THB,"97,070.40",THB,"97,070.40","97,070.40",0.00,0.00,0.00,0.00,1000198877,,
BG00022241,บริษัท บางกอกซีท จำกัด,BS19-07-040,RB15966209,2019-08-13,MR. WICHANCHAI  S.,08/2019,2019-11-11,1.00000,THB,"174,872.78",THB,"174,872.78","174,872.78",0.00,0.00,0.00,0.00,1000197275,,
BG00012976,บริษัท นันยางการทอ อุตสาหกรรม ,C6200595,RB15966210,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-08-14,1.00000,THB,"51,064.68",THB,"51,064.68",0.00,"51,064.68",0.00,0.00,0.00,1000198888,,RB1
BG00013182,ซุปเปอร์กล่องกระดาษ,PO62/0042,RB15966211,2019-08-14,MR. PRAMOTE R.,08/2019,2019-08-14,1.00000,THB,"10,914.00",THB,"10,914.00",0.00,"10,914.00",0.00,0.00,0.00,1000198887,,
BG00018607,บริษัท ไทยอ๊อฟเซท จำกัด,1908079LSW,RB15966212,2019-08-14,TAKDANAI Y.,08/2019,2019-10-13,1.00000,THB,"162,201.30",THB,"162,201.30","162,201.30",0.00,0.00,0.00,0.00,1000198770,,
BG00024886,บริษัท มอนดิ กรุงเทพ จำกัด,1907PDB000052,RB15966213,2019-08-14,TAKDANAI Y.,08/2019,2019-10-13,1.00000,THB,"126,260.00",THB,"126,260.00","126,260.00",0.00,0.00,0.00,0.00,1000198697,,
BG00024886,บริษัท มอนดิ กรุงเทพ จำกัด,1907PDB000051,RB15966214,2019-08-14,TAKDANAI Y.,08/2019,2019-10-13,1.00000,THB,"271,180.80",THB,"271,180.80","271,180.80",0.00,0.00,0.00,0.00,1000198695,,
BG00012887,บริษัท บูเคมี อินดัสตรี จำกัด,PO6200547,RB15966215,2019-08-14,MR. SONGTHAM C.,08/2019,2019-11-12,1.00000,THB,"211,860.00",THB,"211,860.00","211,860.00",0.00,0.00,0.00,0.00,1000198563,,RB1
BG00013054,บริษัท ซงเม่า นันวูเว่น จำกัด,P6208005,RB15966216,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-10-13,1.00000,THB,"125,455.36",THB,"125,455.36","125,455.36",0.00,0.00,0.00,0.00,1000198517,,RB1
BG00013106,บริษัท สหไทยอาวากระดาษ จำกัด,'-,RB15966217,2019-08-14,MR. PRAMOTE R.,08/2019,2019-11-12,1.00000,THB,"347,750.00",THB,"347,750.00","347,750.00",0.00,0.00,0.00,0.00,1000197671,,RB1
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM1907013,RB15966218,2019-08-14,MR. PRAMOTE R.,08/2019,2019-11-12,1.00000,THB,"365,940.00",THB,"365,940.00","365,940.00",0.00,0.00,0.00,0.00,1000196895,,RB1
