Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7003,21-03-17,21-03-18,22-03-17,40000032951,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD7004,09-04-17,09-04-18,10-04-17,40000033701,Acid Value,8.9,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD7004,09-04-17,09-04-18,10-04-17,40000033701,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD7004,09-04-17,09-04-18,10-04-17,40000033701,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD7004,09-04-17,09-04-18,10-04-17,40000033701,Non Volatile Content,63.3,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD7004,09-04-17,09-04-18,10-04-17,40000033701,Viscosity,A083,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF7005,06-06-17,06-06-18,07-06-17,40000035557,Acid Value,8.5,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF7005,06-06-17,06-06-18,07-06-17,40000035557,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF7005,06-06-17,06-06-18,07-06-17,40000035557,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF7005,06-06-17,06-06-18,07-06-17,40000035557,Non Volatile Content,65.5,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF7005,06-06-17,06-06-18,07-06-17,40000035557,Viscosity,A089,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG7006,03-07-17,03-07-18,04-07-17,40000036665,Acid Value,9.1,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG7006,03-07-17,03-07-18,04-07-17,40000036665,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG7006,03-07-17,03-07-18,04-07-17,40000036665,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG7006,03-07-17,03-07-18,04-07-17,40000036665,Non Volatile Content,65.5,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CG7006,03-07-17,03-07-18,04-07-17,40000036665,Viscosity,A095,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH7007,13-08-17,13-08-18,13-08-17,40000037918,Acid Value,9.4,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH7007,13-08-17,13-08-18,13-08-17,40000037918,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH7007,13-08-17,13-08-18,13-08-17,40000037918,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH7007,13-08-17,13-08-18,13-08-17,40000037918,Non Volatile Content,65.4,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH7007,13-08-17,13-08-18,13-08-17,40000037918,Viscosity,A081,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7008,03-09-17,03-09-18,04-09-17,40000038518,Acid Value,9.4,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7008,03-09-17,03-09-18,04-09-17,40000038518,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7008,03-09-17,03-09-18,04-09-17,40000038518,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7008,03-09-17,03-09-18,04-09-17,40000038518,Non Volatile Content,66.3,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7008,03-09-17,03-09-18,04-09-17,40000038518,Viscosity,A096,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7009,13-09-17,13-09-18,14-09-17,40000038959,Acid Value,9.3,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7009,13-09-17,13-09-18,14-09-17,40000038959,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7009,13-09-17,13-09-18,14-09-17,40000038959,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7009,13-09-17,13-09-18,14-09-17,40000038959,Non Volatile Content,65.8,63.0,67.0,JIS K5407
