Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013090,ENJQ93T00-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:51 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ93T00-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,T-X,JIS K5400,X,MNT_9326,27-02-15,11:16:51 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ93T00-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0031,Color,Hz.No.,,,<=150,JIS K6901,X,MNT_9326,27-02-15,11:16:51 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ93T00-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0025,Acid Value,,3,1,,JIS K5407,X,MNT_9326,27-02-15,11:16:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQ93T00-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0043,Non Volatile Content,%,57,53,,JIS K5407,X,MNT_9326,27-02-15,11:16:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQB5100-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQB5100-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,U-Y,JIS K5400,X,MNT_9326,27-02-15,11:16:52 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQB5100-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:52 AM,RB_SQ014,04-01-16,2:43:36 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQB5100-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,7.3,5.3,,JIS K5407,X,MNT_9326,27-02-15,11:16:53 AM,RB_SQ001,22-04-15,3:13:49 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQB5100-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,66.5,63.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:53 AM,RB_SQ014,04-01-16,2:43:36 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQC4175-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:53 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC4175-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,X-Z1,JIS K5400,X,MNT_9326,27-02-15,11:16:53 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC4175-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:53 AM,RB_SQ001,15-06-15,3:55:31 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQC4175-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,6.5,4.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:54 AM,RB_SQ001,15-06-15,3:55:31 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQC4175-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,61.5,59.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:54 AM,RB_SQ001,15-06-15,3:55:31 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQC418H-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ014,03-06-15,3:42:32 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC418H-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,X-Z1,JIS K5400,X,RB_SQ014,03-06-15,3:42:32 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC418H-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA031,Color,Hz.No.,,,<=150,JIS K6901,X,RB_SQ014,03-06-15,3:42:32 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC418H-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,8.0,5.0,,JIS K5407,X,RB_SQ014,03-06-15,3:42:32 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENJQC418H-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,62.0,59.0,,JIS K5407,X,RB_SQ014,03-06-15,3:42:32 PM,RB_SQ001,14-09-15,10:52:58 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENJQM743B-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ014,07-01-16,3:04:00 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
